region,source_zone,mean_time,max_time,total_demand,cold_demand,total_cap,cold_cap,gap_ratio,cold_violation_ratio,avg_cost,norm_time,norm_cost,norm_gap,norm_cold,risk_score,risk_label,is_bottleneck
Trabzon,D,70.35596416784536,129.76190476190476,9102865.5,27475.75,2094748.0,14340.0,3.345565910553441,1.9160216178521619,13.58625,0.3353142226122075,1.0,0.0,0.0,35.05942667836622,LOW,False
Trabzon,E,87.35266383781236,167.85714285714286,9102865.5,27475.75,2094748.0,14340.0,3.345565910553441,1.9160216178521619,13.58625,0.43848256536610586,1.0,0.0,0.0,38.154476960983175,LOW,False
Trabzon,F,31.812824139556813,101.19047619047619,9102865.5,27475.75,2094748.0,14340.0,3.345565910553441,1.9160216178521619,13.58625,0.10136104590953922,1.0,0.0,0.0,28.040831377286175,LOW,False
Trabzon,G,43.033946251768036,102.38095238095238,9102865.5,27475.75,2094748.0,14340.0,3.345565910553441,1.9160216178521619,13.58625,0.16947218481502554,1.0,0.0,0.0,30.084165544450766,LOW,False
Trabzon,H,30.056577086280058,96.42857142857143,9102865.5,27475.75,2094748.0,14340.0,3.345565910553441,1.9160216178521619,13.58625,0.09070079412706292,1.0,0.0,0.0,27.721023823811887,LOW,False
Giresun,A,27.182539682539684,127.38095238095238,5159151.0,19104.0,722767.0,5799.0,6.138055555939881,2.0,5.840624999999999,0.07325566173582929,0.1527891714520098,1.0,1.0,51.017399138375126,HIGH,False
Giresun,B,31.130952380952383,128.57142857142858,5159151.0,19104.0,722767.0,5799.0,6.138055555939881,2.0,5.840624999999999,0.09722214949600731,0.1527891714520098,1.0,1.0,51.73639377118047,HIGH,False
Giresun,C,74.88095238095238,182.14285714285714,5159151.0,19104.0,722767.0,5799.0,6.138055555939881,2.0,5.840624999999999,0.36278046864772867,0.1527891714520098,1.0,1.0,59.7031433457321,HIGH,False
Giresun,D,68.69047619047619,189.2857142857143,5159151.0,19104.0,722767.0,5799.0,6.138055555939881,2.0,5.840624999999999,0.3252048697473491,0.1527891714520098,1.0,1.0,58.57587537872072,HIGH,False
Giresun,E,179.86111111111114,230.95238095238096,5159151.0,19104.0,722767.0,5799.0,6.138055555939881,2.0,5.840624999999999,1.0,0.1527891714520098,1.0,1.0,78.81972928630024,CRITICAL,True
Giresun,F,27.638888888888893,126.19047619047619,5159151.0,19104.0,722767.0,5799.0,6.138055555939881,2.0,5.840624999999999,0.0760256578086137,0.1527891714520098,1.0,1.0,51.10049902055866,HIGH,False
Giresun,G,67.65873015873017,113.0952380952381,5159151.0,19104.0,722767.0,5799.0,6.138055555939881,2.0,5.840624999999999,0.3189422699306192,0.1527891714520098,1.0,1.0,58.38799738421882,HIGH,False
Giresun,H,73.35317460317461,180.95238095238096,5159151.0,19104.0,722767.0,5799.0,6.138055555939881,2.0,5.840624999999999,0.353507003534494,0.1527891714520098,1.0,1.0,59.42493939233506,HIGH,False
Ordu,A,67.71221532091097,144.04761904761907,8848670.25,26599.5,1659772.0,9611.0,4.331256491855508,2.0,7.522499999999999,0.31926691975389443,0.3367514356029532,0.35297913563638716,1.0,43.586167551782275,LOW,False
Ordu,B,22.90890269151139,91.66666666666667,8848670.25,26599.5,1659772.0,9611.0,4.331256491855508,2.0,7.522499999999999,0.04731509359863858,0.3367514356029532,0.35297913563638716,1.0,35.4276127671246,LOW,False
Ordu,C,15.279503105590061,90.47619047619048,8848670.25,26599.5,1659772.0,9611.0,4.331256491855508,2.0,7.522499999999999,0.001005367194658985,0.3367514356029532,0.35297913563638716,1.0,34.03832097500521,LOW,False
Ordu,D,21.718426501035196,97.61904761904762,8848670.25,26599.5,1659772.0,9611.0,4.331256491855508,2.0,7.522499999999999,0.04008901688702709,0.3367514356029532,0.35297913563638716,1.0,35.210830465776255,LOW,False
Ordu,E,78.83022774327122,96.42857142857143,8848670.25,26599.5,1659772.0,9611.0,4.331256491855508,2.0,7.522499999999999,0.3867521926953789,0.3367514356029532,0.35297913563638716,1.0,45.61072574002681,LOW,False
